City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,West Bay,KY,80.01,broken clouds,19.3667,-81.4167,
4,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,
13,Axim,GH,78.75,scattered clouds,4.8699,-2.2405,
19,Rikitea,PF,76.48,light rain,-23.1203,-134.9692,
25,Tezu,IN,76.53,broken clouds,27.9167,96.1667,
41,Tanete,ID,89.37,overcast clouds,-3.9443,119.7848,
47,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,
51,Teahupoo,PF,78.76,clear sky,-17.8333,-149.2667,
52,Sola,VU,81.27,few clouds,-13.8833,167.55,
53,Gabas,PH,83.77,overcast clouds,10.7297,124.7961,
56,Busselton,AU,87.04,few clouds,-33.65,115.3333,
59,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,
60,Mecca,SA,76.75,clear sky,21.4267,39.8261,
63,Kralendijk,BQ,80.58,overcast clouds,12.15,-68.2667,
66,Vaini,TO,84.36,broken clouds,-21.2,-175.2,
89,Loikaw,MM,76.01,scattered clouds,19.6742,97.2094,
91,Sambava,MG,81.05,scattered clouds,-14.2667,50.1667,
97,Lorengau,PG,85.51,overcast clouds,-2.0226,147.2712,
101,Poum,NC,79.12,clear sky,-20.2333,164.0167,
104,Pasighat,IN,76.46,broken clouds,28.0667,95.3333,
106,Itarema,BR,80.17,overcast clouds,-2.9248,-39.9167,
108,Butaritari,KI,82.27,overcast clouds,3.0707,172.7902,
111,Atuona,PF,78.73,clear sky,-9.8,-139.0333,
114,Kapaa,US,78.78,light rain,22.0752,-159.319,
116,Kavaratti,IN,82.15,overcast clouds,10.5669,72.642,
119,Veraval,IN,82.53,scattered clouds,20.9,70.3667,
122,Faanui,PF,82.29,light rain,-16.4833,-151.75,
123,Mount Isa,AU,85.77,broken clouds,-20.7333,139.5,
125,Champerico,GT,79.03,scattered clouds,14.3,-91.9167,
126,Boyolangu,ID,85.53,light rain,-8.1181,111.8935,
127,Palu,ID,86.68,overcast clouds,-0.8917,119.8707,
128,Tamandare,BR,77.63,scattered clouds,-8.7597,-35.1047,
135,Hambantota,LK,82.74,few clouds,6.1241,81.1185,
137,Hervey Bay,AU,81.03,overcast clouds,-25.2986,152.8535,
139,Wanning,CN,77.31,clear sky,18.8003,110.3967,
145,Srivardhan,IN,86.0,clear sky,18.0333,73.0167,
146,Eyl,SO,82.09,overcast clouds,7.9803,49.8164,
153,Cockburn Town,TC,77.92,scattered clouds,21.4612,-71.1419,
155,Bairiki,KI,86.0,few clouds,1.3292,172.9752,
157,Vinukonda,IN,81.43,broken clouds,16.05,79.75,
161,Culebra,PR,79.0,scattered clouds,18.303,-65.301,
162,Kirakira,SB,82.44,overcast clouds,-10.4544,161.9205,
168,Kismayo,SO,82.4,broken clouds,-0.3582,42.5454,
171,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,
172,Bengkulu,ID,86.07,broken clouds,-3.8004,102.2655,
175,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,
176,Georgetown,MY,84.13,moderate rain,5.4112,100.3354,
177,Pangkalanbuun,ID,87.19,moderate rain,-2.6833,111.6167,
178,Esperance,AU,76.84,clear sky,-33.8667,121.9,
184,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,
185,Salalah,OM,84.47,broken clouds,17.0151,54.0924,
186,Kieta,PG,82.62,light rain,-6.2167,155.6333,
187,Thinadhoo,MV,81.18,broken clouds,0.5333,72.9333,
194,Isangel,VU,82.96,overcast clouds,-19.55,169.2667,
195,Fare,PF,82.13,scattered clouds,-16.7,-151.0167,
198,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,
202,Souillac,MU,80.98,few clouds,-20.5167,57.5167,
207,Kampong Thum,KH,85.41,broken clouds,12.7111,104.8887,
218,Sumbe,AO,76.62,overcast clouds,-11.2061,13.8437,
220,Pemangkat,ID,85.14,broken clouds,1.1667,108.9667,
228,Biak,ID,83.82,overcast clouds,-0.9131,122.8766,
229,Airai,TL,75.25,scattered clouds,-8.9266,125.4092,
230,Sawakin,SD,78.55,overcast clouds,19.1059,37.3321,
234,Vao,NC,75.51,scattered clouds,-22.6667,167.4833,
240,Victoria,HK,78.04,clear sky,22.2855,114.1577,
241,Hithadhoo,MV,81.39,broken clouds,-0.6,73.0833,
247,Alyangula,AU,80.47,overcast clouds,-13.8483,136.4192,
261,Bosaso,SO,78.78,scattered clouds,11.2842,49.1816,
262,Yulara,AU,80.44,clear sky,-25.2406,130.9889,
265,Portobelo,PA,76.05,overcast clouds,9.55,-79.65,
269,Ayorou,NE,76.21,clear sky,14.7308,0.9174,
270,Itupiranga,BR,75.52,overcast clouds,-5.1347,-49.3267,
279,Alenquer,BR,77.34,broken clouds,-1.9417,-54.7383,
290,Singkang,MY,82.29,overcast clouds,2.1006,102.7994,
292,Gondanglegi,ID,89.17,light rain,-7.7479,112.0132,
293,Cabinda,AO,77.11,overcast clouds,-5.55,12.2,
296,Along,IN,75.02,scattered clouds,28.1667,94.7667,
311,Atar,MR,75.83,broken clouds,20.5169,-13.0499,
312,Bambous Virieux,MU,80.85,few clouds,-20.3428,57.7575,
314,Majene,ID,87.55,overcast clouds,-3.5403,118.9707,
319,Gizo,SB,84.47,light rain,-8.103,156.8419,
334,Quelimane,MZ,76.95,light rain,-17.8786,36.8883,
336,Tecoanapa,MX,76.96,clear sky,16.5167,-98.75,
337,Ternate,ID,82.24,light rain,0.8,127.4,
341,Pasni,PK,78.6,clear sky,25.2631,63.471,
342,Nisia Floresta,BR,81.41,broken clouds,-6.0911,-35.2086,
343,Cap Malheureux,MU,81.09,clear sky,-19.9842,57.6142,
355,Sibolga,ID,85.75,overcast clouds,1.7427,98.7792,
362,Saint-Philippe,RE,82.47,scattered clouds,-21.3585,55.7679,
365,Pangai,TO,86.11,light rain,-19.8,-174.35,
367,Basco,PH,78.84,overcast clouds,20.4487,121.9702,
376,Mayumba,GA,75.2,overcast clouds,-3.432,10.6554,
387,Kahului,US,77.02,scattered clouds,20.8947,-156.47,
392,Mauriti,BR,77.31,overcast clouds,-7.3892,-38.7744,
395,Bandarbeyla,SO,81.1,overcast clouds,9.4942,50.8122,
402,Honiara,SB,81.61,overcast clouds,-9.4333,159.95,
404,Jibuti,DJ,76.42,broken clouds,11.5,42.5,
409,Talikota,IN,78.73,broken clouds,16.4833,76.3167,
418,Mundi,IN,78.3,clear sky,22.0667,76.5,
419,Cairns,AU,88.95,light rain,-16.9167,145.7667,
420,Srandakan,ID,85.71,broken clouds,-7.9386,110.2506,
425,Dingle,PH,85.55,overcast clouds,10.9995,122.6711,
436,Padang,ID,89.65,overcast clouds,-0.9492,100.3543,
438,Labuhan,ID,86.0,light rain,-6.8844,112.2051,
440,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,
445,Saint-Pierre,RE,82.56,scattered clouds,-21.3393,55.4781,
459,Mitsamiouli,KM,84.49,few clouds,-11.3847,43.2844,
461,Buala,SB,84.24,light rain,-8.145,159.5921,
462,Sao Filipe,CV,77.58,overcast clouds,14.8961,-24.4956,
471,Kavieng,PG,83.59,light rain,-2.5744,150.7967,
473,Itaituba,BR,75.34,overcast clouds,-4.2761,-55.9836,
475,Pangobilian,PH,84.4,overcast clouds,8.8011,117.8594,
479,Manuk Mangkaw,PH,83.21,light rain,4.8,119.85,
481,Kloulklubed,PW,84.4,overcast clouds,7.0419,134.2556,
488,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,
489,Vanimo,PG,79.52,overcast clouds,-2.6741,141.3028,
492,Puerto Escondido,MX,77.79,clear sky,15.85,-97.0667,
496,Langsa,ID,77.25,overcast clouds,4.4683,97.9683,
502,Filingue,NE,76.46,clear sky,14.3521,3.3168,
507,Maragogi,BR,77.23,scattered clouds,-9.0122,-35.2225,
510,Del Monte,PH,85.82,broken clouds,14.6418,121.0177,
513,Acajutla,SV,77.76,overcast clouds,13.5928,-89.8275,
514,Narrabri,AU,82.49,light rain,-30.3167,149.7833,
515,Ormara,PK,78.82,clear sky,25.2088,64.6357,
519,Canutama,BR,75.29,broken clouds,-6.5339,-64.3831,
522,Prabumulih,ID,88.93,overcast clouds,-3.45,104.25,
527,Antalaha,MG,81.88,broken clouds,-14.9003,50.2788,
536,Chambar,PK,82.24,clear sky,25.2931,68.812,
538,Kota Tinggi,MY,89.64,overcast clouds,1.7381,103.8999,
540,Katobu,ID,87.58,overcast clouds,-4.9408,122.5276,
544,Vung Tau,VN,79.84,overcast clouds,10.346,107.0843,
545,Bonfim,BR,78.37,scattered clouds,3.0833,-59.95,
555,Alugan,PH,81.88,overcast clouds,12.2188,125.4808,
558,Anuradhapura,LK,82.81,overcast clouds,8.3565,80.4173,
563,Puerto Madero,MX,77.29,scattered clouds,14.7208,-92.4215,
564,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,
569,Pak Chong,TH,76.32,overcast clouds,14.708,101.4161,
570,Bodden Town,KY,79.93,broken clouds,19.2833,-81.25,
577,Aitape,PG,79.05,overcast clouds,-3.1374,142.3475,
585,Atambua,ID,83.82,scattered clouds,-9.1061,124.8925,
586,Torit,SS,78.33,light rain,4.4133,32.5678,
592,Weligama,LK,83.25,broken clouds,5.9667,80.4167,
593,Boa Vista,BR,80.58,scattered clouds,2.8197,-60.6733,
594,Luanda,AO,76.64,overcast clouds,-8.8368,13.2343,
595,Port Keats,AU,88.93,broken clouds,-14.25,129.55,
597,Puerto Narino,CO,75.15,broken clouds,-3.7703,-70.3831,
598,Ban Nahin,LA,87.26,scattered clouds,18.2418,104.2122,
601,Waingapu,ID,88.16,overcast clouds,-9.6567,120.2641,
606,Santarem,BR,77.13,thunderstorm with light rain,-2.4431,-54.7083,
608,Thanh Hoa,VN,76.1,scattered clouds,19.8,105.7667,
610,Charters Towers,AU,87.78,overcast clouds,-20.1,146.2667,
623,Miri,MY,86.14,scattered clouds,4.4148,114.0089,
627,Omboue,GA,76.57,overcast clouds,-1.5746,9.2618,
630,Sabang,ID,81.84,overcast clouds,5.8933,95.3214,
640,Montepuez,MZ,75.04,overcast clouds,-13.1256,38.9997,
647,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,
656,Lamu,KE,81.55,overcast clouds,-2.2717,40.902,
657,Biloela,AU,80.94,overcast clouds,-24.4167,150.5,
658,Mahibadhoo,MV,81.28,overcast clouds,3.7833,72.9667,
659,Doka,SD,76.3,clear sky,13.5167,35.7667,
663,Pyapon,MM,86.07,broken clouds,16.2833,95.6833,
665,Tautira,PF,84.22,clear sky,-17.7333,-149.15,
671,Rio Branco,BR,77.61,clear sky,-9.9747,-67.81,
676,Cabo Rojo,PR,76.96,clear sky,18.0866,-67.1457,
685,Hoi An,VN,80.56,overcast clouds,15.8794,108.335,
686,Takaungu,KE,79.29,broken clouds,-3.6837,39.8566,
687,Kadhan,PK,82.53,clear sky,24.481,68.9859,
690,Anito,PH,82.65,overcast clouds,12.4497,125.2886,
696,Luganville,VU,82.74,clear sky,-15.5333,167.1667,
698,Araguari,BR,77.29,overcast clouds,-18.6472,-48.1872,
699,Moerai,PF,78.19,clear sky,-22.4333,-151.3333,
