City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Carnarvon,AU,-24.8667,113.6333,104.07,6,0,17.27,clear sky,2021-11-26 04:53:10
1,Kodiak,US,57.79,-152.4072,15.31,62,40,21.85,scattered clouds,2021-11-26 04:53:10
2,Port Lincoln,AU,-34.7333,135.8667,61.93,52,85,18.37,overcast clouds,2021-11-26 04:53:11
3,West Bay,KY,19.3667,-81.4167,80.01,78,57,3.0,broken clouds,2021-11-26 04:53:11
4,Bathsheba,BB,13.2167,-59.5167,77.61,94,75,5.75,broken clouds,2021-11-26 04:53:12
5,Thompson,CA,55.7435,-97.8558,3.36,78,90,3.44,light snow,2021-11-26 04:50:13
6,Ostrovnoy,RU,68.0531,39.5131,25.27,63,100,12.62,light snow,2021-11-26 04:53:12
7,Ushuaia,AR,-54.8,-68.3,40.66,75,20,18.41,few clouds,2021-11-26 04:53:13
8,Barrow,US,71.2906,-156.7887,-10.28,98,72,12.66,broken clouds,2021-11-26 04:53:13
9,Bredasdorp,ZA,-34.5322,20.0403,64.27,73,72,27.56,broken clouds,2021-11-26 04:53:13
10,Punta Arenas,CL,-53.15,-70.9167,41.11,75,40,9.22,scattered clouds,2021-11-26 04:52:20
11,Kalevala,RU,65.2,31.1667,22.75,87,100,10.85,overcast clouds,2021-11-26 04:53:14
12,Flinders,AU,-34.5833,150.8552,64.2,90,100,8.99,light rain,2021-11-26 04:53:14
13,Axim,GH,4.8699,-2.2405,78.75,84,32,6.29,scattered clouds,2021-11-26 04:53:15
14,Broome,US,42.2506,-75.833,45.18,78,100,1.01,overcast clouds,2021-11-26 04:53:15
15,Huilong,CN,31.8111,121.655,63.99,51,0,8.08,clear sky,2021-11-26 04:53:16
16,Jamestown,US,42.097,-79.2353,42.08,99,90,5.99,mist,2021-11-26 04:53:16
17,Awbari,LY,26.5921,12.7805,62.47,43,0,4.18,clear sky,2021-11-26 04:53:17
18,Upernavik,GL,72.7868,-56.1549,19.92,74,100,9.13,overcast clouds,2021-11-26 04:53:17
19,Rikitea,PF,-23.1203,-134.9692,76.48,78,17,11.74,light rain,2021-11-26 04:53:18
20,Albany,US,42.6001,-73.9662,40.68,91,100,1.19,light rain,2021-11-26 04:53:18
21,Cherskiy,RU,68.75,161.3,-32.62,100,100,4.63,overcast clouds,2021-11-26 04:53:19
22,Hobart,AU,-42.8794,147.3294,62.02,54,20,3.0,few clouds,2021-11-26 04:53:19
23,Ayr,GB,55.4627,-4.6339,45.48,78,96,23.49,overcast clouds,2021-11-26 04:53:20
24,Lavrentiya,RU,65.5833,-171.0,-7.58,88,11,9.42,few clouds,2021-11-26 04:53:20
25,Tezu,IN,27.9167,96.1667,76.53,36,84,3.44,broken clouds,2021-11-26 04:53:21
