City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hambantota,LK,2021-11-25 04:31:41,6.1241,81.1185,75.54,100,20,4.61
1,Albany,US,2021-11-25 04:30:07,42.6001,-73.9662,33.8,79,76,3.22
2,Bethel,US,2021-11-25 04:31:42,41.3712,-73.414,40.5,69,1,3.44
3,Hasaki,JP,2021-11-25 04:31:43,35.7333,140.8333,63.0,45,0,9.86
4,Itarema,BR,2021-11-25 04:31:43,-2.9248,-39.9167,79.97,80,97,13.67
5,Saint-Philippe,RE,2021-11-25 04:31:43,-21.3585,55.7679,85.48,73,45,9.15
6,Belyy Yar,RU,2021-11-25 04:31:44,53.6039,91.3903,31.89,71,0,4.47
7,Bengkulu,ID,2021-11-25 04:31:44,-3.8004,102.2655,85.42,61,44,8.1
8,Gisborne,NZ,2021-11-25 04:31:45,-38.6533,178.0042,69.94,62,80,11.79
9,Hermanus,ZA,2021-11-25 04:31:45,-34.4187,19.2345,63.9,71,6,22.64
10,Vaini,TO,2021-11-25 04:31:45,-21.2,-175.2,86.16,74,75,5.75
11,Viedma,AR,2021-11-25 04:31:46,-40.8135,-62.9967,67.51,47,100,10.67
12,Kavieng,PG,2021-11-25 04:31:46,-2.5744,150.7967,85.59,63,21,8.95
13,Saint George,US,2021-11-25 04:27:16,37.1041,-113.5841,50.47,32,1,5.99
14,Kahului,US,2021-11-25 04:30:35,20.8947,-156.47,78.82,75,40,9.22
15,Rikitea,PF,2021-11-25 04:31:47,-23.1203,-134.9692,76.57,76,52,12.08
16,Faanui,PF,2021-11-25 04:31:48,-16.4833,-151.75,81.73,74,14,11.79
17,Farafangana,MG,2021-11-25 04:31:48,-22.8167,47.8333,73.98,90,99,14.29
18,Alamogordo,US,2021-11-25 04:30:42,32.8995,-105.9603,50.05,61,75,3.44
19,Meulaboh,ID,2021-11-25 04:31:49,4.1363,96.1285,83.82,64,99,1.72
20,Hilo,US,2021-11-25 04:27:53,19.7297,-155.09,76.73,86,90,0.0
21,Victoria,HK,2021-11-25 04:30:31,22.2855,114.1577,81.18,57,11,5.99
22,Shushenskoye,RU,2021-11-25 04:31:50,53.325,91.9356,31.68,83,100,5.86
23,New Norfolk,AU,2021-11-25 04:31:50,-42.7826,147.0587,57.65,64,80,3.0
24,Rio Grande,BR,2021-11-25 04:31:51,-32.035,-52.0986,65.43,79,5,15.55
25,Punta Arenas,CL,2021-11-25 04:31:51,-53.15,-70.9167,46.51,76,75,6.91
26,Lorengau,PG,2021-11-25 04:31:52,-2.0226,147.2712,85.37,68,42,7.61
27,Qaanaaq,GL,2021-11-25 04:31:52,77.484,-69.3632,-2.61,48,0,6.76
